Front	Back	Tags
Packet switching	Packet switching is the router's core job — the step-by-step process of moving an IP packet from an ingress interface to an egress interface. It happens hundreds of thousands of times per second on modern routers. <br><br><i>Memory:</i> Packet switching = FedEx re-sorting a package at every hub. The BOX (IP packet) is never opened — the SHIPPING LABEL (IP src/dst) stays the same. But the OUTER TRUCK LABEL (L2 MAC) gets re-printed at every hub because each truck only goes so far. TTL = a stamp that says 'expires in N hops' — each hub marks it, zero hops = return to sender. <br><br><span style="color:#888">1.1.a.1 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.a weight_high
Routing table	The routing table (also called RIB — Routing Information Base) is the router's database of all known destination networks and how to reach them. Every forwarding decision starts with a routing table lookup. <br><br><i>Memory:</i> Routing table = the router's GPS. Each entry is a memorized destination + route + trust score. CSORD-B mnemonic: 'Cisco Students Often Ride Dirty Buses' — Connected, Static, OSPF, RIP, EIGRP (D), BGP. The brackets [AD/metric] = [how much I trust the source / how expensive the path is]. <br><br><span style="color:#888">1.1.a.2 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.a weight_high
Administrative Distance (AD)	Administrative Distance (AD) is a numeric value from 0-255 that ranks how trustworthy a routing source is. When multiple routing sources advertise the same prefix with the same prefix length, AD is the tiebreaker — the lower AD wins and that route is installed in the routing table. <br><br><i>Memory:</i> AD = trust score, lower = more trusted. 'I saw it with my own eyes' (Connected 0) > 'my boss told me' (Static 1) > 'OSPF told me' (110) > 'RIP whispered it' (120) > 'I don't believe you' (255). Chant it: '0, 1, 20, 90, 110, 115, 120, 170, 200.' Write this list on your exam whiteboard FIRST. <br><br><span style="color:#888">1.1.a.3 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.a weight_high
Longest prefix match	Longest prefix match (LPM) is the single most important rule in IP routing. When multiple routes in the routing table match a packet's destination, the router picks the route with the longest subnet mask (the most specific match). This rule runs BEFORE administrative distance and metric are ever considered. <br><br><i>Memory:</i> LPM = most-specific-address-wins, ALWAYS, regardless of source. Like mail: 'USA' matches, 'Illinois' is better, '123 Main St Apt 4B, Chicago IL 60601' wins because it's most specific. /32 > /28 > /24 > /16 > /8 > /0. The mnemonic 'PAM' = Prefix first, AD second, Metric third. NEVER skip to AD. <br><br><span style="color:#888">1.1.a.4 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.a weight_high
Connected route	A connected route is automatically installed in the routing table whenever the router has a configured IP address on an interface AND that interface is in up/up state. It's marked with C in show ip route output. You don't need a routing protocol or a static route command — the router infers it from the interface configuration. <br><br><i>Memory:</i> Connected route = 'I can see the neighborhood from my window.' The moment you configure an IP and bring the interface up, the router remembers: 'traffic for this subnet goes out this port.' AD 0 because it's undeniable. Always paired with an L (/32) route for the router's own IP. <br><br><span style="color:#888">1.1.a.5 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.a weight_high
Static route	A static route is manually configured by an administrator to tell the router exactly how to reach a specific network. It's the simplest form of 'telling the router where to send traffic' — no routing protocol overhead, no neighbor relationships, just a direct command. <br><br><i>Memory:</i> Static route = GPS waypoint you hardcode. 'To reach that destination, go through this next hop.' Simple, predictable, but dumb — it doesn't adapt to outages unless you've configured a floating backup. The '1' at the end of 'ip route ... 1' is NOT a typo — you can set custom AD for floating static routes. <br><br><span style="color:#888">1.1.a.6 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.a weight_high
Dynamic route	A dynamic route is one learned automatically by a routing protocol — OSPF, EIGRP, RIP, BGP. Instead of an admin typing each route, routers exchange route information with each other and update their tables as the topology changes. <br><br><i>Memory:</i> Dynamic routing = routers gossiping with each other constantly. 'Hey, I can reach 10.1.1.0/24 with cost 20 via me' → 'Thanks, I'll remember that.' Protocols compete: OSPF = methodical engineer (link-state, calculates shortest path algebraically), EIGRP = fast Cisco kid (hybrid, composite metric), RIP = simple grandpa (hop count, max 15), BGP = diplomat running the internet. <br><br><span style="color:#888">1.1.a.7 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.a weight_high
Broadcast domain segmentation	Routers do not forward broadcast frames between interfaces by default. This single property is what makes routers fundamentally different from switches — it's why we use routers to divide networks into smaller, manageable pieces. <br><br><i>Memory:</i> Routers = broadcast firewalls by default. Each router interface is the edge of a broadcast domain — broadcasts stop at the router's door and are dropped. Switches spread broadcasts within a VLAN; routers contain them. Rule of thumb: keep broadcast domains under ~250 hosts to prevent broadcast storms from wrecking performance. <br><br><span style="color:#888">1.1.a.8 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.a weight_high
Cisco Express Forwarding (CEF)	Cisco Express Forwarding (CEF) is a hardware-accelerated forwarding mechanism used on all modern Cisco routers and L3 switches. It's the 'how' behind fast packet switching — without CEF, every packet would hit the CPU, limiting throughput to tens of thousands of packets per second instead of millions. <br><br><i>Memory:</i> CEF = 'Cisco's Fast lookup.' Two tables: FIB (derived from the routing table) and adjacency (derived from ARP). Pre-built, always ready. Packet arrives → FIB lookup → adjacency lookup → rewrite → out. The CPU never sees the packet for normal traffic. Compare: process switching = CPU per packet (slow); CEF = hardware per packet (fast). <br><br><span style="color:#888">1.1.a.9 · weight: med</span>	ccna domain1 topic1.1 subtopic1.1.a weight_med
MAC address table (CAM table)	Switch learns source MAC → ingress port mappings. Ages out after 300s default on Cisco. View with 'show mac address-table'. <br><br><span style="color:#888">1.1.b.1 · weight: high</span>	ccna domain1 topic1.1 subtopic1.1.b weight_high
